crime_code,crime_type,occurred_at,latitude,longitude,address,description,police_station,is_accident,is_women_related,severity
MV-184,Accident-RashDriving,2025-10-01T18:58:00,12.927449,77.608491,"Sector 32, Zone 7","Base dataset FIR #11: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,False,3
NDPS-21,NDPS-DrugPossession,2025-11-19T08:45:00,13.074065,80.257764,"Sector 30, Zone 8","Base dataset FIR #12: NDPS-DrugPossession recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2025-09-09T05:01:00,17.452848,78.464894,"Sector 18, Zone 7","Base dataset FIR #13: ArmsAct-IllegalWeapon recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,4
420,IPC-Fraud,2025-12-06T22:01:00,12.958198,77.651838,"Sector 33, Zone 10","Base dataset FIR #14: IPC-Fraud recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,3
323,IPC-Assault,2026-04-01T06:03:00,13.05694,80.325062,"Sector 2, Zone 9","Base dataset FIR #15: IPC-Assault recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
376,IPC-SexualOffence,2025-10-01T08:17:00,12.940735,77.537125,"Sector 8, Zone 9","Base dataset FIR #16: IPC-SexualOffence recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,True,5
420,IPC-Fraud,2025-09-20T16:33:00,13.073051,80.340351,"Sector 40, Zone 10","Base dataset FIR #17: IPC-Fraud recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,3
379,IPC-Theft,2025-06-30T01:01:00,17.429276,78.460213,"Sector 43, Zone 1","Base dataset FIR #18: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
NDPS-21,NDPS-DrugPossession,2026-02-18T14:59:00,13.065022,80.246844,"Sector 43, Zone 3","Base dataset FIR #19: NDPS-DrugPossession recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,4
323,IPC-Assault,2025-08-11T06:00:00,17.432154,78.460386,"Sector 24, Zone 2","Base dataset FIR #20: IPC-Assault recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,True,2
420,IPC-Fraud,2025-05-08T20:17:00,17.354281,78.536183,"Sector 28, Zone 9","Base dataset FIR #21: IPC-Fraud recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,3
420,IPC-Fraud,2025-11-03T18:17:00,12.936067,77.622314,"Sector 37, Zone 7","Base dataset FIR #22: IPC-Fraud recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,3
420,IPC-Fraud,2025-09-01T10:14:00,13.053665,80.314496,"Sector 19, Zone 7","Base dataset FIR #23: IPC-Fraud recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,3
376,IPC-SexualOffence,2026-03-19T02:32:00,17.337823,78.471318,"Sector 50, Zone 7","Base dataset FIR #24: IPC-SexualOffence recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,5
323,IPC-Assault,2025-08-09T03:06:00,13.067642,80.243104,"Sector 38, Zone 10","Base dataset FIR #25: IPC-Assault recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,2
323,IPC-Assault,2025-07-05T14:09:00,17.429734,78.458683,"Sector 11, Zone 2","Base dataset FIR #26: IPC-Assault recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
MV-184,Accident-RashDriving,2025-12-17T06:25:00,13.047846,80.257553,"Sector 24, Zone 3","Base dataset FIR #27: Accident-RashDriving recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,True,False,3
NDPS-27,NDPS-DrugConsumption,2026-03-26T05:20:00,12.945287,77.625521,"Sector 39, Zone 10","Base dataset FIR #28: NDPS-DrugConsumption recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,3
376,IPC-SexualOffence,2025-05-03T01:25:00,13.037957,77.663666,"Sector 44, Zone 8","Base dataset FIR #29: IPC-SexualOffence recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,True,5
MV-184,Accident-RashDriving,2025-05-18T04:20:00,17.397469,78.528406,"Sector 13, Zone 12","Base dataset FIR #30: Accident-RashDriving recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,True,False,3
NDPS-21,NDPS-DrugPossession,2025-08-01T08:18:00,17.437163,78.445932,"Sector 5, Zone 2","Base dataset FIR #31: NDPS-DrugPossession recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,4
379,IPC-Theft,2025-05-03T07:22:00,17.314899,78.51613,"Sector 38, Zone 11","Base dataset FIR #32: IPC-Theft recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
323,IPC-Assault,2026-02-20T02:35:00,17.448203,78.433771,"Sector 39, Zone 5","Base dataset FIR #33: IPC-Assault recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
NDPS-27,NDPS-DrugConsumption,2025-05-29T09:39:00,13.048213,80.241195,"Sector 12, Zone 1","Base dataset FIR #34: NDPS-DrugConsumption recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,3
ARMS-25,ArmsAct-IllegalWeapon,2025-12-09T13:12:00,12.92487,77.63776,"Sector 34, Zone 2","Base dataset FIR #35: ArmsAct-IllegalWeapon recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,4
379,IPC-Theft,2025-11-19T10:36:00,17.431846,78.53286,"Sector 30, Zone 6","Base dataset FIR #36: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
379,IPC-Theft,2025-05-05T08:40:00,13.051359,80.234576,"Sector 45, Zone 9","Base dataset FIR #37: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
420,IPC-Fraud,2026-02-20T03:47:00,13.073652,80.23475,"Sector 20, Zone 5","Base dataset FIR #38: IPC-Fraud recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,3
NDPS-27,NDPS-DrugConsumption,2025-10-23T01:50:00,13.053515,80.235413,"Sector 45, Zone 2","Base dataset FIR #39: NDPS-DrugConsumption recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,3
379,IPC-Theft,2026-03-01T08:54:00,17.422673,78.458552,"Sector 39, Zone 1","Base dataset FIR #40: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
MV-184,Accident-RashDriving,2025-10-07T11:55:00,13.072865,80.243222,"Sector 14, Zone 5","Base dataset FIR #41: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,False,3
379,IPC-Theft,2026-01-15T02:19:00,13.024965,80.282701,"Sector 46, Zone 4","Base dataset FIR #42: IPC-Theft recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
ARMS-25,ArmsAct-IllegalWeapon,2025-07-10T09:59:00,13.044949,80.23146,"Sector 24, Zone 5","Base dataset FIR #43: ArmsAct-IllegalWeapon recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,4
NDPS-27,NDPS-DrugConsumption,2025-10-11T17:25:00,13.041995,80.26366,"Sector 21, Zone 7","Base dataset FIR #44: NDPS-DrugConsumption recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,3
379,IPC-Theft,2025-08-15T20:24:00,17.428221,78.452597,"Sector 28, Zone 6","Base dataset FIR #45: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
379,IPC-Theft,2025-09-05T10:49:00,13.073066,80.252919,"Sector 47, Zone 3","Base dataset FIR #46: IPC-Theft recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
NDPS-27,NDPS-DrugConsumption,2025-11-11T17:54:00,13.049086,80.257413,"Sector 15, Zone 6","Base dataset FIR #47: NDPS-DrugConsumption recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,3
323,IPC-Assault,2026-01-08T13:21:00,12.944947,77.607763,"Sector 25, Zone 3","Base dataset FIR #48: IPC-Assault recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
302,IPC-Murder,2025-09-13T03:38:00,17.427762,78.460569,"Sector 14, Zone 7","Base dataset FIR #49: IPC-Murder recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,5
323,IPC-Assault,2025-06-18T07:04:00,12.929605,77.64247,"Sector 31, Zone 7","Base dataset FIR #50: IPC-Assault recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
420,IPC-Fraud,2025-08-20T23:22:00,12.947666,77.64241,"Sector 13, Zone 9","Base dataset FIR #51: IPC-Fraud recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,3
379,IPC-Theft,2025-06-12T19:54:00,17.422776,78.434314,"Sector 30, Zone 4","Base dataset FIR #52: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
NDPS-21,NDPS-DrugPossession,2025-09-26T13:11:00,13.067325,80.237985,"Sector 6, Zone 7","Base dataset FIR #53: NDPS-DrugPossession recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,4
ARMS-25,ArmsAct-IllegalWeapon,2026-03-13T09:34:00,12.938143,77.61794,"Sector 25, Zone 11","Base dataset FIR #54: ArmsAct-IllegalWeapon recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
379,IPC-Theft,2026-01-23T12:17:00,12.963408,77.593269,"Sector 47, Zone 9","Base dataset FIR #55: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
NDPS-27,NDPS-DrugConsumption,2025-12-17T17:57:00,13.048192,80.227007,"Sector 10, Zone 10","Base dataset FIR #56: NDPS-DrugConsumption recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,3
379,IPC-Theft,2025-09-17T02:52:00,13.057471,80.248468,"Sector 11, Zone 10","Base dataset FIR #57: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
323,IPC-Assault,2025-05-26T13:14:00,12.985701,77.661499,"Sector 23, Zone 6","Base dataset FIR #58: IPC-Assault recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
NDPS-27,NDPS-DrugConsumption,2025-05-14T03:47:00,12.931719,77.608362,"Sector 19, Zone 10","Base dataset FIR #59: NDPS-DrugConsumption recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,3
323,IPC-Assault,2025-10-01T04:02:00,12.986411,77.545849,"Sector 20, Zone 5","Base dataset FIR #60: IPC-Assault recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
379,IPC-Theft,2025-07-13T10:08:00,13.040786,80.246505,"Sector 39, Zone 9","Base dataset FIR #61: IPC-Theft recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
NDPS-21,NDPS-DrugPossession,2025-06-24T02:41:00,13.058522,80.244893,"Sector 50, Zone 9","Base dataset FIR #62: NDPS-DrugPossession recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,4
307,IPC-AttemptToMurder,2025-12-08T16:44:00,13.097308,80.321905,"Sector 17, Zone 1","Base dataset FIR #63: IPC-AttemptToMurder recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,4
MV-184,Accident-RashDriving,2025-05-03T20:21:00,13.049541,80.23529,"Sector 28, Zone 8","Base dataset FIR #64: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,False,3
NDPS-21,NDPS-DrugPossession,2025-12-19T09:07:00,12.925617,77.629741,"Sector 47, Zone 4","Base dataset FIR #65: NDPS-DrugPossession recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,4
323,IPC-Assault,2026-02-18T20:43:00,13.043712,77.565093,"Sector 31, Zone 6","Base dataset FIR #66: IPC-Assault recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
379,IPC-Theft,2026-01-25T05:52:00,13.034645,80.214871,"Sector 48, Zone 2","Base dataset FIR #67: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
ARMS-25,ArmsAct-IllegalWeapon,2025-12-04T00:29:00,13.13859,80.202897,"Sector 3, Zone 10","Base dataset FIR #68: ArmsAct-IllegalWeapon recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
NDPS-21,NDPS-DrugPossession,2025-09-20T11:05:00,12.933944,77.638019,"Sector 8, Zone 11","Base dataset FIR #69: NDPS-DrugPossession recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
379,IPC-Theft,2025-07-22T01:25:00,13.093754,80.326133,"Sector 8, Zone 2","Base dataset FIR #70: IPC-Theft recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
379,IPC-Theft,2026-04-03T09:28:00,13.059466,80.253657,"Sector 42, Zone 9","Base dataset FIR #71: IPC-Theft recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
379,IPC-Theft,2026-03-06T22:24:00,17.424428,78.459517,"Sector 25, Zone 10","Base dataset FIR #72: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
MV-184,Accident-RashDriving,2025-05-10T20:42:00,17.439474,78.430481,"Sector 3, Zone 5","Base dataset FIR #73: Accident-RashDriving recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,True,False,3
NDPS-21,NDPS-DrugPossession,2025-08-12T15:01:00,12.897859,77.5259,"Sector 32, Zone 4","Base dataset FIR #74: NDPS-DrugPossession recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,4
379,IPC-Theft,2026-03-15T01:25:00,17.404563,78.490108,"Sector 47, Zone 1","Base dataset FIR #75: IPC-Theft recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
MV-184,Accident-RashDriving,2026-01-02T08:47:00,17.434831,78.440191,"Sector 43, Zone 10","Base dataset FIR #76: Accident-RashDriving recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,True,False,3
379,IPC-Theft,2025-06-15T13:18:00,17.435675,78.444381,"Sector 38, Zone 9","Base dataset FIR #77: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
323,IPC-Assault,2025-06-14T23:24:00,12.930212,77.640935,"Sector 40, Zone 1","Base dataset FIR #78: IPC-Assault recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
379,IPC-Theft,2025-05-17T23:19:00,13.06751,80.242303,"Sector 32, Zone 7","Base dataset FIR #79: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
307,IPC-AttemptToMurder,2025-08-24T10:55:00,17.45574,78.506978,"Sector 45, Zone 12","Base dataset FIR #80: IPC-AttemptToMurder recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,4
NDPS-21,NDPS-DrugPossession,2025-05-02T21:20:00,12.947566,77.639476,"Sector 37, Zone 5","Base dataset FIR #81: NDPS-DrugPossession recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,4
379,IPC-Theft,2025-06-21T02:26:00,17.452561,78.456881,"Sector 45, Zone 6","Base dataset FIR #82: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
NDPS-21,NDPS-DrugPossession,2025-10-11T08:55:00,13.053522,80.227517,"Sector 48, Zone 7","Base dataset FIR #83: NDPS-DrugPossession recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,4
379,IPC-Theft,2025-08-24T00:28:00,13.049556,80.248743,"Sector 46, Zone 2","Base dataset FIR #84: IPC-Theft recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
ARMS-25,ArmsAct-IllegalWeapon,2025-04-24T06:11:00,13.1408,80.250932,"Sector 10, Zone 7","Base dataset FIR #85: ArmsAct-IllegalWeapon recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
323,IPC-Assault,2025-04-06T20:16:00,12.941708,77.609737,"Sector 39, Zone 4","Base dataset FIR #86: IPC-Assault recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
420,IPC-Fraud,2025-11-27T06:34:00,13.106714,80.223202,"Sector 24, Zone 5","Base dataset FIR #87: IPC-Fraud recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,3
376,IPC-SexualOffence,2025-05-25T19:43:00,13.050954,80.199772,"Sector 5, Zone 5","Base dataset FIR #88: IPC-SexualOffence recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,True,5
323,IPC-Assault,2026-02-19T12:01:00,17.424216,78.431494,"Sector 29, Zone 7","Base dataset FIR #89: IPC-Assault recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
379,IPC-Theft,2025-10-12T06:28:00,13.058331,80.25487,"Sector 30, Zone 2","Base dataset FIR #90: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
323,IPC-Assault,2025-06-28T06:32:00,13.067453,80.23637,"Sector 40, Zone 3","Base dataset FIR #91: IPC-Assault recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,2
379,IPC-Theft,2025-05-13T01:11:00,13.074599,80.231796,"Sector 38, Zone 4","Base dataset FIR #92: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
379,IPC-Theft,2025-11-22T07:45:00,17.420207,78.431432,"Sector 23, Zone 8","Base dataset FIR #93: IPC-Theft recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,2
NDPS-27,NDPS-DrugConsumption,2025-12-01T19:37:00,17.345047,78.545696,"Sector 29, Zone 1","Base dataset FIR #94: NDPS-DrugConsumption recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,3
MV-184,Accident-RashDriving,2025-06-07T16:11:00,12.99549,77.533945,"Sector 30, Zone 5","Base dataset FIR #95: Accident-RashDriving recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,True,False,3
ARMS-25,ArmsAct-IllegalWeapon,2025-07-05T12:40:00,17.436132,78.442817,"Sector 6, Zone 1","Base dataset FIR #96: ArmsAct-IllegalWeapon recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,4
NDPS-27,NDPS-DrugConsumption,2025-06-18T17:34:00,17.441454,78.436397,"Sector 29, Zone 6","Base dataset FIR #97: NDPS-DrugConsumption recorded near patrol zone served by Velachery PS. Generated for analytics, upload, and demo seeding.",Velachery PS,False,False,3
420,IPC-Fraud,2025-09-02T22:59:00,13.044793,80.257905,"Sector 33, Zone 4","Base dataset FIR #98: IPC-Fraud recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,3
420,IPC-Fraud,2026-02-10T11:25:00,17.448336,78.460102,"Sector 31, Zone 5","Base dataset FIR #99: IPC-Fraud recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,3
379,IPC-Theft,2025-10-27T15:31:00,13.020926,77.664372,"Sector 27, Zone 12","Base dataset FIR #100: IPC-Theft recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,2
NDPS-21,NDPS-DrugPossession,2025-11-16T00:43:00,17.435056,78.457319,"Sector 8, Zone 12","Base dataset FIR #101: NDPS-DrugPossession recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,4
MV-184,Accident-RashDriving,2025-10-13T03:59:00,12.927727,77.617822,"Sector 47, Zone 5","Base dataset FIR #102: Accident-RashDriving recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,True,False,3
379,IPC-Theft,2025-08-23T20:32:00,12.941485,77.623374,"Sector 37, Zone 9","Base dataset FIR #103: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
323,IPC-Assault,2025-10-28T15:43:00,17.453861,78.452963,"Sector 43, Zone 2","Base dataset FIR #104: IPC-Assault recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
420,IPC-Fraud,2025-12-03T01:57:00,13.019134,80.277401,"Sector 6, Zone 6","Base dataset FIR #105: IPC-Fraud recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,3
NDPS-27,NDPS-DrugConsumption,2025-12-26T15:39:00,13.063851,80.230693,"Sector 29, Zone 1","Base dataset FIR #106: NDPS-DrugConsumption recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,3
MV-184,Accident-RashDriving,2025-10-19T11:30:00,17.430627,78.463002,"Sector 20, Zone 9","Base dataset FIR #107: Accident-RashDriving recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,True,False,3
379,IPC-Theft,2025-11-16T16:33:00,12.970436,77.60746,"Sector 35, Zone 4","Base dataset FIR #108: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
307,IPC-AttemptToMurder,2025-08-05T15:08:00,12.951405,77.638836,"Sector 26, Zone 10","Base dataset FIR #109: IPC-AttemptToMurder recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,4
379,IPC-Theft,2025-05-26T18:52:00,12.93022,77.625941,"Sector 44, Zone 9","Base dataset FIR #110: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
NDPS-27,NDPS-DrugConsumption,2025-09-16T07:11:00,12.940863,77.617976,"Sector 24, Zone 10","Base dataset FIR #111: NDPS-DrugConsumption recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,3
379,IPC-Theft,2025-10-10T04:32:00,17.448978,78.433202,"Sector 6, Zone 9","Base dataset FIR #112: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
MV-184,Accident-RashDriving,2025-07-27T16:27:00,12.951933,77.630539,"Sector 22, Zone 10","Base dataset FIR #113: Accident-RashDriving recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,True,False,3
